,lambda/nm,mua(Ni)//cm,mua(Cu)//cm
0,980.0,2.982112492712984,4.548135153234629
1,978.0,2.900773674302969,4.573889567499768
2,976.0,2.8235679961348787,4.610420080000119
3,974.0,2.7477438690225844,4.637026450749665
4,972.0,2.671159888829602,4.665520941275466
5,970.0,2.5992271305244694,4.697952852310288
6,968.0,2.523944110909029,4.731121590574867
7,966.0,2.453392903659691,4.761078222634719
8,964.0,2.386640961813794,4.794845633023477
9,962.0,2.325000758874343,4.826034148108081
10,960.0,2.2573968605440378,4.858443033291972
11,958.0,2.2005575475234798,4.889873319811341
12,956.0,2.1402067922361057,4.920704934206531
13,954.0,2.086809843929574,4.952779944551938
14,952.0,2.032146473821895,4.985983221592912
15,950.0,1.9819155800182302,5.018656904062498
16,948.0,1.93366490939454,5.050271397389307
17,946.0,1.8874750524290795,5.08326744177191
18,944.0,1.8416420961530329,5.116724003173115
19,942.0,1.7977433113551016,5.148775987667591
20,940.0,1.7556750817061004,5.1813230279570615
21,938.0,1.7160591051811376,5.216644683283591
22,936.0,1.6766043096126848,5.248121021504819
23,934.0,1.6393599957335059,5.2846745598561
24,932.0,1.6021847594071172,5.31742883280394
25,930.0,1.567784138117786,5.35064362277038
26,928.0,1.5343390896420477,5.385838635916794
27,926.0,1.5021950017438506,5.419318223168927
28,924.0,1.4714094390505204,5.452579064837226
29,922.0,1.442845870971929,5.48729053511411
30,920.0,1.4157099056509943,5.522439496558665
31,918.0,1.3896446423983015,5.557669048481474
32,916.0,1.3641895641952526,5.5916091527522065
33,914.0,1.3432015010726117,5.627540993128379
34,912.0,1.321845024335092,5.66393335052315
35,910.0,1.3032516497091648,5.699024747340379
36,908.0,1.285993774437175,5.7331375454930855
37,906.0,1.2710615101091083,5.76877004980717
38,904.0,1.2578101328989277,5.804770967736132
39,902.0,1.2461590523283779,5.839033433919881
40,900.0,1.23757040993151,5.875149481103493
41,898.0,1.2321017703356487,5.910448110579092
42,896.0,1.2275541647769859,5.945447403992601
43,894.0,1.2252170409075966,5.979260866083219
44,892.0,1.225170989205737,6.013995362211034
45,890.0,1.2269900314292026,6.047935466481766
46,888.0,1.2309504777891522,6.0808739462370465
47,886.0,1.239078603167421,6.114434123967434
48,884.0,1.2482659176884676,6.147948249995962
49,882.0,1.259122606401934,6.180621932465549
50,880.0,1.2724891128667648,6.21335317956246
51,878.0,1.2872947350147164,6.244357487839624
52,876.0,1.3073387382492296,6.2765936791415395
53,874.0,1.3274978707383922,6.308933486772641
54,872.0,1.3497984073640397,6.341388423658393
55,870.0,1.3744590937100059,6.371022693805226
56,868.0,1.4019519597203547,6.401232610225307
57,866.0,1.4312178162523093,6.430452415055402
